date,open,high,low,close,adjclose,volume
2022-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000
2022-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000
2022-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000
2022-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3420380000
2022-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000
2022-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3638390000
2022-01-10,3281.810059,3282.989990,3260.860107,3265.350098,3265.350098,3212970000
2022-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3456380000
2022-01-14,3285.350098,3294.250000,3277.189941,3283.149902,3283.149902,3665130000
2022-01-15,3282.270020,3298.659912,3280.689941,3289.290039,3289.290039,3716840000
2022-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000
2022-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117,3698170000
2022-01-21,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000
2022-01-22,3330.020020,3337.770020,3320.040039,3321.750000,3321.750000,3619850000
2022-01-23,3315.770020,3326.879883,3301.870117,3325.540039,3325.540039,3764860000
2022-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000
2022-01-27,3247.159912,3258.850098,3234.500000,3243.629883,3243.629883,3823100000
2022-01-28,3255.350098,3285.780029,3253.219971,3276.239990,3276.239990,3526720000
2022-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000
2022-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
2022-01-31,3282.330078,3282.330078,3214.679932,3225.520020,3225.520020,4527830000
2022-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
2022-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
2022-02-05,3324.909912,3337.580078,3313.750000,3334.689941,3334.689941,4117730000
2022-02-06,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000
2022-02-07,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3730650000
2022-02-10,3318.280029,3352.260010,3317.770020,3352.090088,3352.090088,3450350000
2022-02-11,3365.870117,3375.629883,3352.719971,3357.750000,3357.750000,3760550000
2022-02-12,3370.500000,3381.469971,3369.719971,3379.449951,3379.449951,3926380000
2022-02-13,3365.899902,3385.090088,3360.520020,3373.939941,3373.939941,3498240000
2022-02-14,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3398040000
2022-02-18,3369.040039,3375.010010,3355.610107,3370.290039,3370.290039,3746720000
2022-02-19,3380.389893,3393.520020,3378.830078,3386.149902,3386.149902,3600150000
2022-02-20,3380.449951,3389.149902,3341.020020,3373.229980,3373.229980,4007320000
2022-02-21,3360.500000,3360.760010,3328.449951,3337.750000,3337.750000,3899270000
2022-02-24,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000
2022-02-25,3238.939941,3246.989990,3118.770020,3128.209961,3128.209961,5591510000
2022-02-26,3139.899902,3182.510010,3108.989990,3116.389893,3116.389893,5478110000
2022-02-27,3062.540039,3097.070068,2977.389893,2978.760010,2978.760010,7058840000
2022-02-28,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000
2022-03-02,2974.280029,3090.959961,2945.189941,3090.229980,3090.229980,6376400000
2022-03-03,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6355940000
2022-03-04,3045.750000,3130.969971,3034.379883,3130.120117,3130.120117,5035480000
2022-03-05,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000
2022-03-06,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6552140000
2022-03-09,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
2022-03-10,2813.479980,2882.590088,2734.000000,2882.229980,2882.229980,7635960000
2022-03-11,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7374110000
2022-03-12,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000
2022-03-13,2569.989990,2711.330078,2492.370117,2711.020020,2711.020020,8258670000
2022-03-16,2508.590088,2562.979980,2380.939941,2386.129883,2386.129883,7781540000
2022-03-17,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000
2022-03-18,2436.500000,2453.570068,2280.520020,2398.100098,2398.100098,8755780000
2022-03-19,2393.479980,2466.969971,2319.780029,2409.389893,2409.389893,7946710000
2022-03-20,2431.939941,2453.010010,2295.560059,2304.919922,2304.919922,9044690000
2022-03-23,2290.709961,2300.729980,2191.860107,2237.399902,2237.399902,7402180000
2022-03-24,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
2022-03-25,2457.770020,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
2022-03-26,2501.290039,2637.010010,2500.719971,2630.070068,2630.070068,7753160000
2022-03-27,2555.870117,2615.909912,2520.020020,2541.469971,2541.469971,6194330000
2022-03-30,2558.979980,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
2022-03-31,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
2022-04-01,2498.080078,2522.750000,2447.489990,2470.500000,2470.500000,5947900000
2022-04-02,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
2022-04-03,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
2022-04-06,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
2022-04-07,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
2022-04-08,2685.000000,2760.750000,2663.300049,2749.979980,2749.979980,5856370000
2022-04-09,2776.989990,2818.570068,2762.360107,2789.820068,2789.820068,7880140000
2022-04-13,2782.459961,2782.459961,2721.169922,2761.629883,2761.629883,5274310000
2022-04-14,2805.100098,2851.850098,2805.100098,2846.060059,2846.060059,5567400000
2022-04-15,2795.639893,2801.879883,2761.540039,2783.360107,2783.360107,5203390000
2022-04-16,2799.340088,2806.510010,2764.320068,2799.550049,2799.550049,5179990000
2022-04-17,2842.429932,2879.219971,2830.879883,2874.560059,2874.560059,5792140000